name,code,gdp_per_cap,life_exp,pop,continent
Lao PDR,LAO,2589.3208103523716,67.911,7237636,Asia
Latvia,LVA,17294.975160096918,75.3878048780488,1913822,Europe
Lebanon,LBN,8905.880054974366,78.208,5794594,Asia
Lesotho,LSO,1082.0570677751584,55.249,2209405,Africa
Liberia,LBR,658.1641807705065,61.232,5043721,Africa
Libya,LBY,9963.194890844828,72.941,6951033,Africa
Liechtenstein,LIE,166907.83930501563,84.16097560975611,38563,Europe
Lithuania,LTU,19727.760745373613,76.28292682926829,2794137,Europe
Luxembourg,LUX,112726.43967281375,82.63902439024392,620001,Europe
"Macao SAR, China",MAC,81967.69917276902,83.92926829268293,672000,Asia
Madagascar,MDG,499.8188376225341,63.504,28219554,Africa
Malawi,MWI,580.8898160667763,64.995,19025752,Africa
Malaysia,MYS,10920.191763972032,75.9,33440596,Asia
Maldives,MDV,11740.272402978468,79.707,487731,Asia
Mali,MLI,820.1973908339115,59.217,21068405,Africa
Malta,MLT,32412.269781849933,82.65853658536585,504062,Europe
Marshall Islands,MHL,5292.339855023065,66.047,44007,Oceania
Mauritania,MRT,1767.0727106209977,67.64,4467708,Africa
Mauritius,MUS,11403.252787067413,74.23585365853658,1265985,Africa
Mexico,MEX,10369.555356876055,74.53,125762982,Americas
"Micronesia, Fed. Sts.",FSM,3572.6591828222195,66.196,110282,Oceania
Moldova,MDA,4405.334181621547,70.181,2664224,Europe
Monaco,MCO,193746.78564741169,86.151,38109,Europe
Mongolia,MNG,4347.54610314873,71.05317073170733,3267673,Asia
Montenegro,MNE,8909.653875912598,76.6829268292683,622028,Europe
Morocco,MAR,3508.09765625,74.245,36210898,Africa
Mozambique,MOZ,519.0925509136196,61.306,29884380,Africa
Myanmar,MMR,1425.9895421190286,66.457,52640713,Asia
Namibia,NAM,4731.921031883102,63.546,2650494,Africa
Nauru,NRU,10776.828461031571,61.393,11587,Oceania
Nepal,NPL,1203.142947064013,69.299,28414064,Asia
Netherlands,NLD,53554.900749147506,82.11219512195122,17344874,Europe
New Caledonia,NCL,33411.33588356718,77.262,283606,Oceania
New Zealand,NZL,42747.209929996585,82.05609756097562,4979200,Oceania
Nicaragua,NIC,1958.6213289299562,73.764,6483657,Americas
Niger,NER,561.6913043496979,60.031,22947757,Africa
Nigeria,NGA,2265.1552086305574,53.009,209485641,Africa
North Macedonia,MKD,6718.858266354576,76.60243902439025,1876262,Europe
Northern Mariana Islands,MNP,24496.6652122421,77.844,48129,Oceania
Norway,NOR,76430.58894733385,82.95853658536586,5347896,Europe
Oman,OMN,19180.186415280146,79.946,4591241,Asia
Pakistan,PAK,1390.416909817447,66.729,230800899,Asia
Palau,PLW,15841.193532981233,68.982,17798,Oceania
Panama,PAN,16477.90662856873,78.514,4234700,Americas
Papua New Guinea,PNG,2575.7727425189128,65.331,9609010,Oceania
Paraguay,PRY,5821.181995486371,73.668,6515058,Americas
Peru,PER,7037.008036926039,76.275,32449303,Americas
Philippines,PHL,3400.7894977230153,69.68,110804683,Asia
Poland,POL,15874.522053125382,77.90487804878049,37965475,Europe
Portugal,PRT,23343.362897003433,81.67560975609757,10286263,Europe
Puerto Rico,PRI,32916.86680063901,81.438,3193694,Americas
Qatar,QAT,66841.3013472693,82.945,2638657,Asia
Romania,ROU,12992.032610467375,75.60731707317073,19371648,Europe
Russian Federation,RUS,11447.701171875,73.0839024390244,145453291,Europe
Rwanda,RWA,810.051420243718,66.691,12776103,Africa
Samoa,WSM,4351.942349437056,70.269,209780,Oceania
San Marino,SMR,46627.01223569437,85.257,34663,Europe
Sao Tome and Principe,STP,1935.2931816595997,68.043,213392,Africa
Saudi Arabia,SAU,27892.8421521179,78.313,30063799,Asia
Senegal,SEN,1431.1812893215913,67.668,16352922,Africa
Serbia,SRB,7755.632986436999,75.93658536585367,6945235,Europe
Seychelles,SYC,19141.5118743615,74.04634146341465,97625,Africa
Sierra Leone,SLE,843.7125173041702,59.593,7731991,Africa
Singapore,SGP,66081.71992351646,83.59512195121953,5703569,Asia
Sint Maarten (Dutch part),SXM,34861.46952896804,75.68,40385,Americas
Slovak Republic,SVK,19406.058968358197,77.66585365853659,5454147,Europe
Slovenia,SVN,25814.168716757213,81.52926829268293,2088385,Europe
Solomon Islands,SLB,2223.6650255956515,69.981,728147,Oceania
Somalia,SOM,539.8939315654676,57.249,16030971,Africa
South Africa,ZAF,6533.711210328561,66.071,59587885,Africa
Spain,ESP,29776.201150038392,83.83170731707318,47134837,Europe
Sri Lanka,LKA,4082.6940487153324,76.698,21803000,Asia
St. Kitts and Nevis,KNA,23595.49232312906,71.54,46952,Americas
St. Lucia,LCA,11794.205652171102,72.249,177661,Americas
St. Martin (French part),MAF,19033.06496348889,80.078,34267,Americas
St. Vincent and the Grenadines,VCT,8743.332021337532,70.994,104167,Americas
Sudan,SDN,709.975280761719,65.803,45548175,Africa
Suriname,SUR,6629.667752486033,71.773,605768,Americas
Sweden,SWE,51773.04645589933,83.10975609756099,10278887,Europe
Switzerland,CHE,84121.93103044144,83.90487804878049,8575280,Europe
Syrian Arab Republic,SYR,1109.539260360489,70.97,20353534,Asia
Tajikistan,TJK,871.0223729348457,70.962,9529966,Asia
Tanzania,TZA,1063.32250976563,66.007,59174891,Africa
Thailand,THA,7605.696577977591,77.197,71522271,Asia
Timor-Leste,TLS,1562.3645888181284,66.496,1300945,Asia
Togo,TGO,826.2606540998936,61.055,8463068,Africa
Tonga,TON,4676.847903482357,72.292,105669,Oceania
Trinidad and Tobago,TTO,17431.02692666962,72.836,1363985,Americas
Tunisia,TUN,3528.8721330679796,75.599,11875081,Africa
Turkiye,TUR,9215.440498881144,77.737,82579440,Asia
Turkmenistan,TKM,6648.034896062804,69.405,6803944,Asia
Turks and Caicos Islands,TCA,27273.43769923574,77.691,43166,Americas
Tuvalu,TUV,5115.130759502061,66.109,10581,Oceania
Uganda,UGA,822.0570581891529,66.354,42999637,Africa
Ukraine,UKR,3619.86157226563,73.92,44957458,Europe
United Arab Emirates,ARE,44251.45413901483,82.596,9445785,Asia
United Kingdom,GBR,42662.535374031075,81.36912195121953,66836327,Europe
United States,USA,65604.6815198734,78.78780487804877,328329953,Americas
Uruguay,URY,18315.73528571944,77.503,3397206,Americas
Uzbekistan,UZB,2041.384807294311,72.093,32964701,Asia
Vanuatu,VUT,3207.4465045208253,70.783,291985,Oceania
Viet Nam,VNM,3440.9002537543365,74.211,97173776,Asia
Virgin Islands (U.S.),VIR,38633.529891533624,79.66829268292683,106669,Americas
West Bank and Gaza,PSE,3656.858271370109,75.811,4685306,Asia
"Yemen, Rep.",YEM,623.376164898164,66.567,35111408,Asia
Zambia,ZMB,1258.9861984446204,62.914,18513839,Africa
Zimbabwe,ZWE,1684.027903881821,61.06,15271368,Africa
